pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
Steroid biosynthesis - Homo sapiens (human),KEGG,20,HMDB0001170;HMDB0001251;HMDB0000032;HMDB0001188;HMDB0006842;HMDB0000067;HMDB0000937;HMDB0006851;HMDB0006271;HMDB0006846;HMDB0006841;HMDB0002719;HMDB0001242;HMDB0006927#HMDB0001181;HMDB0002374;HMDB0036591;HMDB0001286;HMDB0006845;HMDB0000876;HMDB0003550,40 (58),4.03e-10,1.62e-06
Cholesterol Biosynthesis with Skeletal Dysplasias,Wikipathways,10,HMDB0001170;HMDB0002027;HMDB0001251;HMDB0000032;HMDB0006842;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0001286,12 (14),9.45e-09,1.9e-05
Metabolism of steroids,Reactome,33,HMDB0006842;HMDB0001170;HMDB0000123;HMDB0001547;HMDB0006271;HMDB0000145;HMDB0000036;HMDB0000015;HMDB0001286;HMDB0001188;HMDB0000067;HMDB0006841;HMDB0000077;HMDB0006894;HMDB0012455;HMDB0001231;HMDB0000876;HMDB0003550;HMDB0000637;HMDB0000951;HMDB0000234;HMDB0062206;HMDB0006763;HMDB0002719;HMDB0001251;HMDB0000138;HMDB0006281;HMDB0062420;HMDB0000032;HMDB0001090;HMDB0060136;HMDB0001457;HMDB0001993,113 (142),2.33e-08,3.12e-05
Metabolism of lipids,Reactome,66,HMDB0001170;HMDB0004878;HMDB0033934;HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0000123;HMDB0001547;HMDB0006271;HMDB0000145;HMDB0002995;HMDB0062321;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0001090;HMDB0000036;HMDB0006519;HMDB0001286;HMDB0001188;HMDB0000067;HMDB0010213;HMDB0004842;HMDB0001416;HMDB0013462#HMDB0012103#HMDB0012092;HMDB0001388;HMDB0006841;HMDB0006528;HMDB0001043;HMDB0006894;HMDB0012455;HMDB0002311;HMDB0001231;HMDB0002265;HMDB0003550;HMDB0000876;HMDB0002183;HMDB0000637;HMDB0000951;HMDB0000234;HMDB0006842;HMDB0000077;HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974;HMDB0000015;HMDB0062206;HMDB0006763;HMDB0000304;HMDB0003208;HMDB0004080;HMDB0002719;HMDB0001976;HMDB0001251;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0060136;HMDB0000138;HMDB0006734;HMDB0006281;HMDB0002343;HMDB0062420;HMDB0000032;HMDB0062259;HMDB0004949;HMDB0060050;HMDB0002314;HMDB0000054;HMDB0062325;HMDB0003944;HMDB0001457;HMDB0001993,352 (626),8.01e-07,0.000805
Cholesterol metabolism - Homo sapiens (human),KEGG,6,HMDB0000036;HMDB0000637;HMDB0000951;HMDB0000067;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741;HMDB0000138,7 (10),9.25e-06,0.00745
Alpha Linolenic Acid and Linoleic Acid Metabolism,SMPDB,9,HMDB0006246;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0003073;HMDB0001388;HMDB0006528;HMDB0001043;HMDB0001976;HMDB0002177;HMDB0002183,18 (18),3.37e-05,0.0149
Primary bile acid biosynthesis - Homo sapiens (human),KEGG,14,HMDB0000036;HMDB0000637;HMDB0000951;HMDB0000067;HMDB0000123;HMDB0006281;HMDB0006888;HMDB0001993;HMDB0006894;HMDB0012455;HMDB0060136;HMDB0001231;HMDB0001457;HMDB0000138,40 (47),3.4e-05,0.0149
Simvastatin Action Pathway,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (47),8.52e-05,0.0149
Hyper-IgD syndrome,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149
Cholesteryl ester storage disease,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149
Lysosomal Acid Lipase Deficiency (Wolman Disease),SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149
Rosuvastatin Action Pathway,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (47),8.52e-05,0.0149
Mevalonic aciduria,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149
Wolman disease,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149
Cerivastatin Action Pathway,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (47),8.52e-05,0.0149
Smith-Lemli-Opitz Syndrome (SLOS),SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149
